SampleID	Compartment	host_common_name	Phylum2	depth	phy_total	prop
Arw.1	Rhizosphere	Sedge	Zetaproteobacteria	22765	0	4.392515154177282e-5
Arw.10	Rhizosphere	Mudplantain	[Parvarchaeota]	25910	2	1.157809424568716e-4
Arw.10	Rhizosphere	Mudplantain	[Thermi]	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	AC1	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	Acidobacteria	25910	4452	0.17185751225348309
Arw.10	Rhizosphere	Mudplantain	Actinobacteria	25910	880	0.03400100343483463
Arw.10	Rhizosphere	Mudplantain	AD3	25910	3	1.5437458994249547e-4
Arw.10	Rhizosphere	Mudplantain	Armatimonadetes	25910	343	0.01327621473505461
Arw.10	Rhizosphere	Mudplantain	Bacteroidetes	25910	2212	0.08540774188568562
Arw.10	Rhizosphere	Mudplantain	BHI80-139	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	BRC1	25910	20	8.104665971981012e-4
Arw.10	Rhizosphere	Mudplantain	Caldiserica	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	Chlamydiae	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	Chlorobi	25910	201	0.007795916792096021
Arw.10	Rhizosphere	Mudplantain	Chloroflexi	25910	881	0.03403959708232025
Arw.10	Rhizosphere	Mudplantain	Crenarchaeota	25910	43	0.0016981204893674502
Arw.10	Rhizosphere	Mudplantain	Cyanobacteria	25910	95	0.003704990158619891
Arw.10	Rhizosphere	Mudplantain	Elusimicrobia	25910	22	8.876538921693489e-4
Arw.10	Rhizosphere	Mudplantain	Euryarchaeota	25910	68	0.0026629616765080468
Arw.10	Rhizosphere	Mudplantain	FBP	25910	7	3.0874917988499094e-4
Arw.10	Rhizosphere	Mudplantain	FCPU426	25910	20	8.104665971981012e-4
Arw.10	Rhizosphere	Mudplantain	Fibrobacteres	25910	12	5.017174173131102e-4
Arw.10	Rhizosphere	Mudplantain	Firmicutes	25910	115	0.0044768631083323684
Arw.10	Rhizosphere	Mudplantain	Fusobacteria	25910	34	0.0013507776619968352
Arw.10	Rhizosphere	Mudplantain	GAL15	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	Gemmatimonadetes	25910	979	0.03782177453591139
Arw.10	Rhizosphere	Mudplantain	GN02	25910	1	7.718729497124774e-5
Arw.10	Rhizosphere	Mudplantain	GN04	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	GOUTA4	25910	7	3.0874917988499094e-4
Arw.10	Rhizosphere	Mudplantain	Kazan-3B-28	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	KSB3	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	Lentisphaerae	25910	1	7.718729497124774e-5
Arw.10	Rhizosphere	Mudplantain	MVS-104	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	NC10	25910	3	1.5437458994249547e-4
Arw.10	Rhizosphere	Mudplantain	Nitrospirae	25910	82	0.0032032727413067808
Arw.10	Rhizosphere	Mudplantain	NKB19	25910	10	0.00042453012234186255
Arw.10	Rhizosphere	Mudplantain	OC31	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	OD1	25910	3	1.5437458994249547e-4
Arw.10	Rhizosphere	Mudplantain	OP11	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	OP3	25910	14	5.78904712284358e-4
Arw.10	Rhizosphere	Mudplantain	OP8	25910	1	7.718729497124774e-5
Arw.10	Rhizosphere	Mudplantain	PAUC34f	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	Planctomycetes	25910	829	0.032032727413067806
Arw.10	Rhizosphere	Mudplantain	SBR1093	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	Spirochaetes	25910	158	0.0061363899502141946
Arw.10	Rhizosphere	Mudplantain	SR1	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	Tenericutes	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	TM6	25910	1	7.718729497124774e-5
Arw.10	Rhizosphere	Mudplantain	TM7	25910	8	3.473428273706148e-4
Arw.10	Rhizosphere	Mudplantain	TPD-58	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	unclassified	25910	2	1.157809424568716e-4
Arw.10	Rhizosphere	Mudplantain	Verrucomicrobia	25910	1974	0.07622245378410714
Arw.10	Rhizosphere	Mudplantain	WPS-2	25910	16	6.560920072556058e-4
Arw.10	Rhizosphere	Mudplantain	WS1	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	WS2	25910	19	7.718729497124773e-4
Arw.10	Rhizosphere	Mudplantain	WS3	25910	58	0.0022770252016518083
Arw.10	Rhizosphere	Mudplantain	WS4	25910	1	7.718729497124774e-5
Arw.10	Rhizosphere	Mudplantain	WS5	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	WWE1	25910	2	1.157809424568716e-4
Arw.10	Rhizosphere	Mudplantain	ZB3	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	Alphaproteobacteria	25910	2740	0.10578518775809502
Arw.10	Rhizosphere	Mudplantain	Betaproteobacteria	25910	5640	0.21770676546640422
Arw.10	Rhizosphere	Mudplantain	Deltaproteobacteria	25910	2520	0.09729458531125777
Arw.10	Rhizosphere	Mudplantain	Epsilonproteobacteria	25910	21	8.490602446837251e-4
Arw.10	Rhizosphere	Mudplantain	Gammaproteobacteria	25910	1313	0.05071205279610976
Arw.10	Rhizosphere	Mudplantain	TA18	25910	0	3.859364748562387e-5
Arw.10	Rhizosphere	Mudplantain	Zetaproteobacteria	25910	1	7.718729497124774e-5
Arw.11	Rhizosphere	Mudplantain	[Parvarchaeota]	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	[Thermi]	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	AC1	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	Acidobacteria	26471	5052	0.19088093079480206
Arw.11	Rhizosphere	Mudplantain	Actinobacteria	26471	711	0.026896343306134784
Arw.11	Rhizosphere	Mudplantain	AD3	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	Armatimonadetes	26471	404	0.01529918404351768
Arw.11	Rhizosphere	Mudplantain	Bacteroidetes	26471	1927	0.07283167119975824
Arw.11	Rhizosphere	Mudplantain	BHI80-139	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	BRC1	26471	30	0.0011710486551828347
Arw.11	Rhizosphere	Mudplantain	Caldiserica	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	Chlamydiae	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	Chlorobi	26471	110	0.004193109700815957
Arw.11	Rhizosphere	Mudplantain	Chloroflexi	26471	1107	0.04185554548201874
