SampleID	host_common_name	host_subject_id	study	Site	Compartment	From	Experiment	LatinName	MDS1	MDS2	MDS3	MDS4	MDS5
Mix.1	Rice	NA	domestication	Sacramento	Bulk Soil	N	Mix	Oryza sativa	-0.67708335450963	-0.9154796634174975	0.7078120822903402	0.40169937598809186	-0.8573671828786116
Mix.10	Rice	NA	domestication	Arbuckle	Rhizosphere	A	Mix	Oryza sativa	-0.5361234727484884	0.4920399405359324	0.5700715068663157	-0.8255377349264015	0.6087056809436516
Mix.11	Rice	NA	domestication	Arbuckle	Rhizosphere	A	Mix	Oryza sativa	-0.49265577745404826	0.6445764882521329	0.4698221488285482	-0.8287548080177347	0.6136938005756248
Mix.12	Rice	NA	domestication	Arbuckle	Rhizosphere	A	Mix	Oryza sativa	-0.4897079277276754	0.5997033513709544	0.5522440070835722	-0.8881192223826185	0.5781098580107097
Mix.13	Rice	NA	domestication	Arbuckle	Endosphere	A	Mix	Oryza sativa	0.6582338463374018	0.5804083154928321	0.5896179276690804	-0.9433634962242932	-0.07659675802966487
Mix.14	Rice	NA	domestication	Arbuckle	Endosphere	A	Mix	Oryza sativa	0.8667680191686106	0.6063086688039127	0.529829611446522	-0.8635923667291265	-0.3481882363253959
Mix.16	Rice	NA	domestication	Arbuckle	Bulk Soil	A	Mix	Oryza sativa	-0.7974501660532991	0.3423722251899392	0.6315266029859885	-0.6569932717397601	0.5957607153351955
Mix.17	Rice	NA	domestication	Sacramento	Rhizosphere	N	Mix	Oryza sativa	0.05439294106852511	-0.8673762356079464	0.3931104821968438	0.3050133101023951	0.2027955828813721
Mix.18	Rice	NA	domestication	Sacramento	Rhizosphere	N	Mix	Oryza sativa	-0.33141108496854205	-0.9086214623211818	0.5966937210404393	0.37984327014867025	0.050331647543762875
Mix.19	Rice	NA	domestication	Sacramento	Rhizosphere	N	Mix	Oryza sativa	-0.2677062491455428	-0.9269828088643912	0.5746600505529409	0.43087223513954476	0.03938445404164224
Mix.2	Rice	NA	domestication	Sacramento	Bulk Soil	N	Mix	Oryza sativa	-0.7338793863625964	-0.916639253594999	0.6649520512663407	0.3387016080771616	-0.6867592552449268
